sttn_idntfr,sttn_std_idntfr,sttn_ty,centr_cartrk_se,korean_nm,shrten_nm,la,lo,detect_headg_value,link_idntfr,link_la,link_lo,link_isesttn_sn,link_isesttn_dstnc,start_dcs_dstnc,arvl_dcs_dstnc,reform_no,sttn_svc_idntfr,sttn_svc_nm
984,355000995,1,0,도레이첨단소재정문,도레이첨단소재정,128.4103629,36.10735709,180,3550105900,128.4104031,36.10738923,1,355,50,50,1075,10984,도레이첨단소재정문
985,355000996,1,0,엘지디스플레이정문앞,엘지디스플레이정,128.4063133,36.10067197,0,3550106800,128.406249,36.10067197,1,913,50,50,1073,10985,엘지디스플레이정문
986,355000997,1,0,엘지디스플레이정문건너,엘지디스플레이정,128.4060803,36.10067197,180,3550106900,128.4061124,36.10067197,1,281,50,50,1073,10986,엘지디스플레이정문
987,355000998,1,0,진성,진성,128.4360778,36.15117573,270,3550107900,128.4360778,36.15113556,1,276,50,50,1073,10987,진성
988,355000999,1,0,진성건너,진성건너,128.4360698,36.15095075,90,3550107800,128.4360698,36.15101503,1,296,50,50,1079,10988,진성건너
989,355001000,1,0,우진E&P건너,우진E&P건너,128.4389785,36.15079809,180,3550107700,128.4390106,36.15079005,1,49,50,50,1073,10989,우진E&P건너
990,355001001,1,0,우진E&P앞,우진E&P,128.4391874,36.15078202,0,3550107600,128.4391311,36.15079005,1,316,50,50,1073,10990,우진E&P
991,355001002,1,0,(주)케이엠텍앞,(주)케이엠텍,128.4485986,36.1430314,90,3550110200,128.4485906,36.14311175,1,50,50,50,1073,10991,(주)케이엠텍
992,355001003,1,0,(주)케이엠텍건너,(주)케이엠텍건,128.4486147,36.14333673,270,3550110300,128.4486388,36.14327245,1,250,50,50,1073,10992,(주)케이엠텍건너
993,355001004,1,0,톱텍앞,톱텍,128.453958,36.14308765,90,3550110400,128.4539258,36.14315193,1,50,50,50,1073,10993,톱텍
994,355001005,1,0,톱텍건너,톱텍건너,128.4539499,36.14332066,270,3550110500,128.453958,36.14325638,1,150,50,50,1073,10994,톱텍건너
995,355001006,1,0,비산동행정복지센터건너,비산동행정복지센터,128.3721228,36.11965872,90,3550018300,128.3721119,36.11960425,2,343.8,50,50,1312,10995,비산동행정복지센터
996,355001007,1,0,LG이노텍공장건너,LG이노텍공장건,128.378296,36.11523793,90,3550099400,128.378296,36.11528614,1,326,50,50,1074,10996,LG이노텍공장건너
997,355001008,1,0,근로자문화센터,근로자문화센터,128.4289852,36.1352455,0,3550090100,128.4288968,36.1352455,1,202,50,50,1314,10997,근로자문화센터
998,355001009,1,0,오태1동입구,오태1동,128.3777849,36.07993727,190,3550077500,128.3777904,36.07993727,1,30,50,50,1089,10998,오태1동
999,355001010,1,0,원1리,원1리,128.2053716,36.24484582,210,3550112500,128.2054806,36.24484038,1,280,50,50,1092,10999,원1리
1000,355001011,1,0,무수2리,무수2리,128.1933564,36.26961079,5,3550112300,128.1933805,36.26961883,3,1060,50,50,1409,11000,무수2리
1001,355001012,1,0,무수1리,무수1리,128.1925835,36.27652861,10,3550112300,128.1925563,36.27654495,4,1800,50,50,1409,11001,무수1리
1002,355001013,1,0,농협파머스마켓앞,농협파머스마켓앞,128.3545034,36.12214043,120,3550040700,128.3545436,36.12226899,1,100,50,50,1097,11002,농협파머스마켓앞
1003,355001014,1,0,옥계이편한세상APT건너,옥계이편한세상APT,128.4375469,36.14039403,0,3550063100,128.4375088,36.14039403,1,200,50,50,1399,11003,옥계이편한세상APT
1004,355001015,1,0,용포분교,용포분교,128.2138544,36.32951171,10,3550117400,128.213774,36.32951171,1,50,50,50,1099,11004,용포분교
1005,355001016,1,0,창림리,창림리,128.3971646,36.22894577,260,3550116300,128.3972289,36.22886542,1,15,50,50,1099,11005,창림리
1006,355001017,1,0,봉죽사앞,봉죽사앞,128.3572006,36.10545175,170,3550035800,128.3573533,36.10545979,2,940,50,50,1443,11006,봉죽사앞
1007,355004572,1,0,봉죽사건너,봉죽사건너,128.3575131,36.10551922,355,3550078100,128.3574917,36.10551922,1,154,0,0,1443,11007,
1008,355001019,1,0,농심앞,농심,128.378974,36.107412,270,3550099700,128.3789166,36.10730245,1,58,50,50,1074,11008,농심
1009,355001020,1,0,(주)KTG건너,(주)KTG건너,128.3743106,36.1152299,90,3550099100,128.3743026,36.11531828,1,220,50,50,1074,11009,(주)KTG건너
1010,355001021,1,0,백현1리,백현1리,128.4683165,36.21466335,310,3550119600,128.468196,36.21459103,1,880,50,50,1117,11010,백현1리
1011,355001022,1,0,선주원남동행정복지센터앞,선주원남동주민센터앞,128.3100272,36.14328049,5,3550027700,128.3099468,36.14329656,1,207,50,50,1231,11011,선주원남동행정복지센터앞
1012,355001023,1,0,경구고등학교건너,경구고등학교건너,128.3105635,36.14769859,10,3550027700,128.3104219,36.14770403,2,750,50,50,1398,11012,경구고등학교건너
1013,355001024,1,0,경구고등학교앞,경구고등학교앞,128.3102135,36.14765549,185,3550069700,128.3102788,36.14765004,1,117,50,50,1128,11013,경구고등학교앞
1014,355001025,1,0,선주원남동행정복지센터건너,선주원남주민센터건너,128.3097219,36.14307158,185,3550069700,128.3097861,36.14305551,2,633,50,50,1231,11014,선주원남동행정복지센터건너
1015,355001026,1,0,대원2리,대원2리,128.2440835,36.27090499,275,3550123500,128.2440674,36.27078447,1,28,50,50,1128,11015,대원2리
1016,355001027,1,0,구미코건너,구미코건너,128.4420335,36.14059177,90,3550109800,128.4420335,36.1407225,1,260,50,50,1404,11016,구미코건너
1017,355001028,1,0,구미코앞,구미코앞,128.4422348,36.14100575,270,3550109900,128.442322,36.14084234,3,500,50,50,1161,11017,구미코앞
1018,355001029,1,0,전자정보기술원(청년창업랩)건너,전자정보기술원건너,128.4392176,36.14026248,90,3550111000,128.4392121,36.14040411,1,45,50,50,1404,11018,전자정보기술원건너
1019,355001030,1,0,형곡네거리,형곡네거리,128.3387627,36.11679033,150,3550030000,128.3388716,36.1168448,2,635,50,50,1130,11019,형곡현대자동차앞
1020,355001031,1,0,수다사,수다사,128.1637586,36.27610613,235,3550121400,128.1637913,36.27602987,1,100,50,50,1130,11020,수다사
1021,355001032,1,0,신동마을회관,신동마을회관,128.4633015,36.09836428,135,3550124000,128.4633658,36.09842856,1,90,50,50,1130,11021,신동마을회관
1022,355001033,1,0,대평마을,대평마을,128.3664105,36.13831278,270,3550125700,128.3664185,36.1383851,1,152,50,50,1428,11022,대평마을
