BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
554,정방향,0,2021-10-07 00:00:35,2021-10-07 00:00:40,봉곡동입구(선기동교복단지앞방면),128.3092992,36.13852891
554,정방향,0,2021-10-07 00:04:36,2021-10-07 00:04:44,구미역,128.3293215,36.12963461
72-3,순환,2,2021-10-07 06:25:05,2021-10-07 06:25:16,이문네거리,128.2960527,36.24051039
72-3,순환,2,2021-10-07 06:25:51,2021-10-07 06:26:03,선산중학교앞,128.2937271,36.23997214
72-3,순환,2,2021-10-07 06:27:23,2021-10-07 06:27:31,죽장1리마을회관,128.2817183,36.24048074
72-3,순환,2,2021-10-07 06:27:59,2021-10-07 06:28:07,죽장2리,128.2772084,36.2416637
72-3,순환,2,2021-10-07 06:28:23,2021-10-07 06:28:30,죽장리마을회관(죽장2리방면),128.2738268,36.24214907
72-3,순환,2,2021-10-07 06:29:03,2021-10-07 06:29:09,죽장2리(봉곡방면),128.2689656,36.24421406
72-3,순환,2,2021-10-07 06:29:51,2021-10-07 06:29:57,봉곡,128.2629363,36.24732219
72-3,순환,2,2021-10-07 06:30:05,2021-10-07 06:30:13,봉곡(덕촌1리방면),128.261022,36.24809584
57,정방향,0,2021-10-07 06:35:26,2021-10-07 06:35:35,서원입구(대신방면),128.1917286,36.15142733
57,정방향,0,2021-10-07 06:35:54,2021-10-07 06:36:00,대신(시내이방면),128.1946263,36.15256484
57,정방향,0,2021-10-07 06:37:47,2021-10-07 06:37:58,시내이(초산방면),128.2052198,36.15394199
174-1,역방향,0,2021-10-07 06:38:30,2021-10-07 06:40:30,구미역(김천행),128.328432,36.130215
57,정방향,0,2021-10-07 06:38:50,2021-10-07 06:38:56,초산(뽕밭방면),128.2154857,36.15372797
57,정방향,0,2021-10-07 06:39:14,2021-10-07 06:39:19,뽕밭(작동방면),128.2194644,36.15559496
57,정방향,0,2021-10-07 06:40:40,2021-10-07 06:40:51,말바우(제석입구방면),128.2244771,36.15693522
174-1,역방향,0,2021-10-07 06:41:08,2021-10-07 06:41:26,원평2동행정복지센터건너,128.325838,36.13129062
57,정방향,0,2021-10-07 06:41:48,2021-10-07 06:41:55,진등(칠산방면),128.2337299,36.15748085
57,정방향,0,2021-10-07 06:42:39,2021-10-07 06:42:48,칠산(경북과학기술고등학교방면),128.2412182,36.15831631
174-1,역방향,0,2021-10-07 06:43:39,2021-10-07 06:43:48,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
174-1,역방향,0,2021-10-07 06:44:50,2021-10-07 06:44:57,선기동교복단지건너,128.3124331,36.13709824
174-1,역방향,0,2021-10-07 06:45:16,2021-10-07 06:45:25,봉곡동입구(진주울입구방면),128.3093903,36.13855769
174-1,역방향,0,2021-10-07 06:46:25,2021-10-07 06:46:31,진주울입구(장흥리방면),128.3016804,36.14131902
174-1,역방향,0,2021-10-07 06:47:50,2021-10-07 06:48:00,장흥리(송천4리입구건너방면),128.2939104,36.14452075
174-1,역방향,0,2021-10-07 06:49:30,2021-10-07 06:49:35,송천4리입구건너,128.283611,36.14925036
