BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
554,정방향,0,2021-10-11 00:03:18,2021-10-11 00:03:56,구미역,128.3293215,36.12963461
553,역방향,0,2021-10-11 05:38:55,2021-10-11 05:41:01,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-11 05:41:22,2021-10-11 05:41:31,터미널네거리(송원고가밑방면),128.3482793,36.12230851
553,역방향,0,2021-10-11 05:41:57,2021-10-11 05:42:04,송원고가밑(구미역방면),128.3439691,36.12341245
553,역방향,0,2021-10-11 05:42:40,2021-10-11 05:42:49,원평동 행정복지 센터 앞,128.3388928,36.12581949
553,역방향,0,2021-10-11 05:44:56,2021-10-11 05:45:07,금오산사거리,128.434978,36.15415266
553,역방향,0,2021-10-11 05:45:10,2021-10-11 05:45:21,대구은행앞,128.3356625,36.12718339
553,역방향,0,2021-10-11 05:45:49,2021-10-11 05:46:03,구미역 전(국민은행),128.3322865,36.12861582
553,역방향,0,2021-10-11 05:46:54,2021-10-11 05:47:35,구미역(김천행),128.328432,36.130215
553,역방향,0,2021-10-11 05:48:07,2021-10-11 05:48:15,원평2동행정복지센터건너,128.325838,36.13129062
553,역방향,0,2021-10-11 05:51:10,2021-10-11 05:51:18,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
553,역방향,0,2021-10-11 05:52:10,2021-10-11 05:52:14,선기동교복단지건너,128.3124331,36.13709824
553,역방향,0,2021-10-11 05:52:27,2021-10-11 05:52:32,봉곡동입구(진주울입구방면),128.3093903,36.13855769
553,역방향,0,2021-10-11 05:54:08,2021-10-11 05:54:13,진주울입구(장흥리방면),128.3016804,36.14131902
553,역방향,0,2021-10-11 05:55:15,2021-10-11 05:55:22,장흥리(송천4리입구건너방면),128.2939104,36.14452075
553,역방향,0,2021-10-11 05:56:23,2021-10-11 05:56:27,송천4리입구건너,128.283611,36.14925036
553,역방향,0,2021-10-11 05:57:02,2021-10-11 05:57:35,하송(금계방면),128.279235,36.15265581
553,역방향,0,2021-10-11 05:58:15,2021-10-11 05:58:19,금계(구미방면),128.2742229,36.15489417
553,역방향,0,2021-10-11 05:59:37,2021-10-11 05:59:45,아포한마음아파트건너,128.2630024,36.15881109
55,정방향,0,2021-10-11 06:00:17,2021-10-11 06:00:30,김천시외버스터미널(종점),128.1178823,36.12287866
55,정방향,0,2021-10-11 06:00:55,2021-10-11 06:01:07,성내동,128.1203089,36.12067708
553,역방향,0,2021-10-11 06:01:24,2021-10-11 06:01:35,아포읍행정복지센터앞,128.25308399,36.15975719
55,정방향,2,2021-10-11 06:01:37,2021-10-11 06:02:09,삼각로타리(중앙시장방면),128.1246156,36.11937541
55,정방향,0,2021-10-11 06:02:12,2021-10-11 06:02:44,중앙시장,128.1261101,36.1194879
553,역방향,0,2021-10-11 06:03:02,2021-10-11 06:03:11,아포초등학교,128.2478695,36.15946618
55,정방향,0,2021-10-11 06:03:19,2021-10-11 06:03:28,아랫시장건너,128.1288742,36.11937541
55,정방향,2,2021-10-11 06:03:53,2021-10-11 06:04:02,감천3거리(아랫시장방면),128.1331809,36.11786483
55,정방향,0,2021-10-11 06:04:25,2021-10-11 06:04:55,성의중고앞,128.1369252,36.11657923
553,역방향,0,2021-10-11 06:05:18,2021-10-11 06:05:25,칠산(진등방면),128.2422238,36.15864972
55,정방향,0,2021-10-11 06:05:31,2021-10-11 06:05:58,지좌동(문성중학교방면),128.1421158,36.11823444
95-1,정방향,1,2021-10-11 06:05:40,2021-10-11 06:05:50,농협,128.3331997,36.12802335
885,정방향,0,2021-10-11 06:05:51,2021-10-11 06:06:03,농협,128.3331997,36.12802335
74,정방향,0,2021-10-11 06:05:53,2021-10-11 06:06:07,태완노블리안정문건너,128.3058566,36.2469351
181,정방향,0,2021-10-11 06:05:56,2021-10-11 06:06:05,농협,128.3331997,36.12802335
11,정방향,5,2021-10-11 06:05:59,2021-10-11 06:06:18,금오산사거리,128.3358796,36.12688792
140,순환,0,2021-10-11 06:06:01,2021-10-11 06:06:15,농협,128.3331997,36.12802335
553,역방향,0,2021-10-11 06:06:01,2021-10-11 06:06:06,진등(제석입구방면),128.2343979,36.15778611
95-1,정방향,1,2021-10-11 06:06:04,2021-10-11 06:07:09,금오산사거리,128.3358796,36.12688792
180,정방향,0,2021-10-11 06:06:11,2021-10-11 06:06:44,금오산사거리,128.3358796,36.12688792
340,순환,0,2021-10-11 06:06:16,2021-10-11 06:06:44,농협,128.3331997,36.12802335
171-4,정방향,0,2021-10-11 06:06:18,2021-10-11 06:06:47,고아에덴아파트건너,128.3102317,36.22514058
885,정방향,0,2021-10-11 06:06:19,2021-10-11 06:07:16,금오산사거리,128.3358796,36.12688792
181,정방향,0,2021-10-11 06:06:23,2021-10-11 06:06:41,금오산사거리,128.3358796,36.12688792
74,정방향,0,2021-10-11 06:06:27,2021-10-11 06:07:19,교리e편한세상(생곡리방면),128.3061793,36.25021027
380-1,정방향,0,2021-10-11 06:06:27,2021-10-11 06:06:51,농협,128.3331997,36.12802335
55,정방향,0,2021-10-11 06:06:27,2021-10-11 06:06:35,문성중학교앞,128.1469208,36.11876475
92,정방향,0,2021-10-11 06:06:28,2021-10-11 06:06:39,인동중학교앞,128.4256927,36.10884636
140,순환,0,2021-10-11 06:06:30,2021-10-11 06:06:55,금오산사거리,128.3358796,36.12688792
195,정방향,0,2021-10-11 06:06:32,2021-10-11 06:06:59,농협,128.3331997,36.12802335
172,역방향,0,2021-10-11 06:06:33,2021-10-11 06:06:42,원평2동산업도로(도량교방면),128.3278393,36.13316801
92,정방향,0,2021-10-11 06:06:46,2021-10-11 06:07:02,황상동입구(황상현대아파트방면),128.4256459,36.11041644
