BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
553,역방향,0,2021-10-14 05:38:12,2021-10-14 05:40:45,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-14 05:41:12,2021-10-14 05:41:22,터미널네거리(송원고가밑방면),128.3482793,36.12230851
553,역방향,0,2021-10-14 05:41:54,2021-10-14 05:42:03,송원고가밑(구미역방면),128.3439691,36.12341245
553,역방향,0,2021-10-14 05:42:32,2021-10-14 05:42:36,금오시장 입구,128.340973,36.12474098
553,역방향,0,2021-10-14 05:42:48,2021-10-14 05:42:58,원평동 행정복지 센터 앞,128.3388928,36.12581949
553,역방향,0,2021-10-14 05:44:58,2021-10-14 05:45:05,금오산사거리,128.434978,36.15415266
553,역방향,0,2021-10-14 05:45:08,2021-10-14 05:45:19,대구은행앞,128.3356625,36.12718339
553,역방향,0,2021-10-14 05:45:44,2021-10-14 05:45:55,구미역 전(국민은행),128.3322865,36.12861582
553,역방향,0,2021-10-14 05:46:25,2021-10-14 05:47:23,구미역(김천행),128.328432,36.130215
553,역방향,0,2021-10-14 05:47:40,2021-10-14 05:47:48,원평2동행정복지센터건너,128.325838,36.13129062
553,역방향,0,2021-10-14 05:48:43,2021-10-14 05:48:51,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
553,역방향,0,2021-10-14 05:49:38,2021-10-14 05:49:43,선기동교복단지건너,128.3124331,36.13709824
553,역방향,0,2021-10-14 05:49:57,2021-10-14 05:50:04,봉곡동입구(진주울입구방면),128.3093903,36.13855769
553,역방향,0,2021-10-14 05:52:22,2021-10-14 05:52:27,진주울입구(장흥리방면),128.3016804,36.14131902
553,역방향,0,2021-10-14 05:53:33,2021-10-14 05:53:41,장흥리(송천4리입구건너방면),128.2939104,36.14452075
553,역방향,0,2021-10-14 05:54:42,2021-10-14 05:54:46,송천4리입구건너,128.283611,36.14925036
553,역방향,0,2021-10-14 05:55:15,2021-10-14 05:55:21,하송(금계방면),128.279235,36.15265581
