BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
55,정방향,0,2021-10-18 06:00:48,2021-10-18 06:00:58,김천시외버스터미널(종점),128.1178823,36.12287866
55,정방향,0,2021-10-18 06:01:22,2021-10-18 06:01:32,성내동,128.1203089,36.12067708
55,정방향,0,2021-10-18 06:01:59,2021-10-18 06:02:08,삼각로타리(중앙시장방면),128.1246156,36.11937541
55,정방향,2,2021-10-18 06:02:10,2021-10-18 06:02:40,중앙시장,128.1261101,36.1194879
55,정방향,2,2021-10-18 06:03:20,2021-10-18 06:03:44,아랫시장건너,128.1288742,36.11937541
55,정방향,1,2021-10-18 06:04:11,2021-10-18 06:04:19,감천3거리(아랫시장방면),128.1331809,36.11786483
55,정방향,2,2021-10-18 06:04:37,2021-10-18 06:04:45,성의중고앞,128.1369252,36.11657923
55,정방향,2,2021-10-18 06:05:27,2021-10-18 06:05:38,지좌동(문성중학교방면),128.1421158,36.11823444
55,정방향,0,2021-10-18 06:06:04,2021-10-18 06:06:14,문성중학교앞,128.1469208,36.11876475
55,정방향,0,2021-10-18 06:07:22,2021-10-18 06:07:49,한마음타운앞,128.1530113,36.11649888
12,정방향,0,2021-10-18 06:07:22,2021-10-18 06:07:59,원평동 행정복지센터 건너,128.3378738,36.12604377
360,정방향,0,2021-10-18 06:07:29,2021-10-18 06:10:17,구미역,128.3293215,36.12963461
26-2,순환,1,2021-10-18 06:07:34,2021-10-18 06:09:44,구미역(선산노선정류장),128.3295658,36.12953268
890,정방향,0,2021-10-18 06:07:38,2021-10-18 06:07:51,금오시장 건너,128.339623,36.12527783
92,정방향,0,2021-10-18 06:07:39,2021-10-18 06:07:49,인동중학교앞,128.4256927,36.10884636
95-1,정방향,1,2021-10-18 06:07:42,2021-10-18 06:09:40,금오산사거리,128.3358796,36.12688792
410-7,정방향,1,2021-10-18 06:07:44,2021-10-18 06:10:19,구미역,128.3293215,36.12963461
172,역방향,0,2021-10-18 06:07:47,2021-10-18 06:07:56,도량교(구미남고방면),128.3323547,36.13463238
92,정방향,0,2021-10-18 06:07:55,2021-10-18 06:08:16,황상동입구(황상현대아파트방면),128.4256459,36.11041644
885,정방향,0,2021-10-18 06:07:55,2021-10-18 06:08:03,원평동 행정복지센터 건너,128.3378738,36.12604377
11,정방향,5,2021-10-18 06:07:57,2021-10-18 06:08:15,원평동 행정복지센터 건너,128.3378738,36.12604377
24,정방향,0,2021-10-18 06:08:00,2021-10-18 06:10:20,구미역(중앙시장),128.3298341,36.12962183
890,정방향,0,2021-10-18 06:08:05,2021-10-18 06:08:21,송원고가밑(터미널네거리방면),128.3421501,36.12386997
12,정방향,0,2021-10-18 06:08:06,2021-10-18 06:08:19,금오시장 건너,128.339623,36.12527783
885,정방향,0,2021-10-18 06:08:09,2021-10-18 06:08:20,금오시장 건너,128.339623,36.12527783
172,역방향,0,2021-10-18 06:08:12,2021-10-18 06:08:22,구미남고앞,128.3324294,36.1374931
11,정방향,5,2021-10-18 06:08:24,2021-10-18 06:08:33,금오시장 건너,128.339623,36.12527783
55,정방향,0,2021-10-18 06:08:29,2021-10-18 06:08:37,무실삼거리,128.1551789,36.11584285
885,정방향,0,2021-10-18 06:08:34,2021-10-18 06:09:05,송원고가밑(터미널네거리방면),128.3421501,36.12386997
12,정방향,0,2021-10-18 06:08:34,2021-10-18 06:09:07,송원고가밑(터미널네거리방면),128.3421501,36.12386997
92,정방향,0,2021-10-18 06:08:35,2021-10-18 06:09:09,황상현대아파트앞,128.4236464,36.11085496
11,정방향,5,2021-10-18 06:08:51,2021-10-18 06:09:18,송원고가밑(터미널네거리방면),128.3421501,36.12386997
890,정방향,0,2021-10-18 06:08:52,2021-10-18 06:09:01,터미널네거리(오성예식장앞방면),128.3478662,36.12222128
172,역방향,0,2021-10-18 06:08:53,2021-10-18 06:09:09,도산초등학교,128.332365,36.14124625
411-6,순환,5,2021-10-18 06:08:55,2021-10-18 06:09:03,푸르지오캐슬B단지,128.3361004,36.12470868
55,정방향,0,2021-10-18 06:08:56,2021-10-18 06:09:03,덕곡동건너,128.1590325,36.11884291
340,순환,0,2021-10-18 06:08:58,2021-10-18 06:09:08,푸르지오캐슬B단지,128.3361004,36.12470868
140-2,순환,0,2021-10-18 06:09:02,2021-10-18 06:09:24,푸르지오캐슬B단지,128.3361004,36.12470868
