BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
553,역방향,0,2021-10-03 05:36:25,2021-10-03 05:40:13,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-03 05:40:42,2021-10-03 05:40:53,터미널네거리(송원고가밑방면),128.3482793,36.12230851
553,역방향,0,2021-10-03 05:41:21,2021-10-03 05:41:30,송원고가밑(구미역방면),128.3439691,36.12341245
553,역방향,0,2021-10-03 05:42:18,2021-10-03 05:42:29,원평동 행정복지 센터 앞,128.3388928,36.12581949
553,역방향,0,2021-10-03 05:42:44,2021-10-03 05:42:50,금오산사거리,128.434978,36.15415266
553,역방향,0,2021-10-03 05:42:53,2021-10-03 05:43:31,대구은행앞,128.3356625,36.12718339
553,역방향,0,2021-10-03 05:44:04,2021-10-03 05:44:15,구미역 전(국민은행),128.3322865,36.12861582
553,역방향,0,2021-10-03 05:45:20,2021-10-03 05:47:01,구미역(김천행),128.328432,36.130215
553,역방향,0,2021-10-03 05:47:19,2021-10-03 05:47:27,원평2동행정복지센터건너,128.325838,36.13129062
553,역방향,0,2021-10-03 05:48:38,2021-10-03 05:48:48,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
553,역방향,0,2021-10-03 05:49:49,2021-10-03 05:49:55,선기동교복단지건너,128.3124331,36.13709824
553,역방향,0,2021-10-03 05:50:14,2021-10-03 05:50:26,봉곡동입구(진주울입구방면),128.3093903,36.13855769
553,역방향,0,2021-10-03 05:52:13,2021-10-03 05:52:18,진주울입구(장흥리방면),128.3016804,36.14131902
553,역방향,0,2021-10-03 05:53:19,2021-10-03 05:53:26,장흥리(송천4리입구건너방면),128.2939104,36.14452075
553,역방향,0,2021-10-03 05:54:33,2021-10-03 05:54:37,송천4리입구건너,128.283611,36.14925036
553,역방향,0,2021-10-03 05:55:15,2021-10-03 05:55:23,하송(금계방면),128.279235,36.15265581
553,역방향,0,2021-10-03 05:55:57,2021-10-03 05:56:02,금계(구미방면),128.2742229,36.15489417
553,역방향,0,2021-10-03 05:57:27,2021-10-03 05:57:38,아포한마음아파트건너,128.2630024,36.15881109
72-3,순환,2,2021-10-03 05:57:38,2021-10-03 05:58:03,선산터미널종점,128.3043322,36.23971938
553,역방향,0,2021-10-03 05:58:59,2021-10-03 05:59:19,아포읍행정복지센터앞,128.25308399,36.15975719
553,역방향,0,2021-10-03 06:00:22,2021-10-03 06:00:37,아포초등학교,128.2478695,36.15946618
553,역방향,0,2021-10-03 06:01:43,2021-10-03 06:01:51,칠산(진등방면),128.2422238,36.15864972
72-3,순환,2,2021-10-03 06:01:48,2021-10-03 06:06:36,선산터미널종점,128.3043322,36.23971938
553,역방향,0,2021-10-03 06:02:30,2021-10-03 06:02:36,진등(제석입구방면),128.2343979,36.15778611
55,정방향,2,2021-10-03 06:02:42,2021-10-03 06:02:58,김천시외버스터미널(종점),128.1178823,36.12287866
553,역방향,0,2021-10-03 06:03:27,2021-10-03 06:04:22,말바우(작동방면),128.2247225,36.15711304
55,정방향,1,2021-10-03 06:03:28,2021-10-03 06:03:40,성내동,128.1203089,36.12067708
55,정방향,0,2021-10-03 06:04:12,2021-10-03 06:04:49,삼각로타리(중앙시장방면),128.1246156,36.11937541
553,역방향,0,2021-10-03 06:04:35,2021-10-03 06:04:51,작동(뽕밭방면),128.2219344,36.15726023
55,정방향,0,2021-10-03 06:04:53,2021-10-03 06:05:05,중앙시장,128.1261101,36.1194879
553,역방향,0,2021-10-03 06:05:12,2021-10-03 06:05:19,뽕밭(초산방면),128.2194312,36.15566306
553,역방향,0,2021-10-03 06:05:36,2021-10-03 06:05:42,초산(시내이방면),128.2156985,36.15391417
55,정방향,1,2021-10-03 06:06:06,2021-10-03 06:06:15,아랫시장건너,128.1288742,36.11937541
53,역방향,0,2021-10-03 06:06:25,2021-10-03 06:10:15,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-03 06:06:32,2021-10-03 06:06:37,시내이(대신방면),128.2055418,36.15397847
55,정방향,2,2021-10-03 06:06:40,2021-10-03 06:06:48,감천3거리(아랫시장방면),128.1331809,36.11786483
55,정방향,1,2021-10-03 06:07:09,2021-10-03 06:07:18,성의중고앞,128.1369252,36.11657923
55,정방향,2,2021-10-03 06:07:52,2021-10-03 06:08:00,지좌동(문성중학교방면),128.1421158,36.11823444
553,역방향,0,2021-10-03 06:07:59,2021-10-03 06:08:09,대신(서원입구방면),128.1950169,36.15284004
553,역방향,0,2021-10-03 06:08:29,2021-10-03 06:08:39,서원입구(초곡리방면),128.1918709,36.15150541
55,정방향,2,2021-10-03 06:08:48,2021-10-03 06:08:59,문성중학교앞,128.1469208,36.11876475
55,정방향,1,2021-10-03 06:10:04,2021-10-03 06:10:14,한마음타운앞,128.1530113,36.11649888
553,역방향,0,2021-10-03 06:10:18,2021-10-03 06:10:22,초곡리(용전입구방면),128.1842217,36.13913893
53,역방향,0,2021-10-03 06:10:41,2021-10-03 06:10:52,터미널네거리(송원고가밑방면),128.3482793,36.12230851
553,역방향,0,2021-10-03 06:11:08,2021-10-03 06:11:14,용전입구,128.1810689,36.13067798
55,정방향,2,2021-10-03 06:11:13,2021-10-03 06:11:22,무실삼거리,128.1551789,36.11584285
53,역방향,1,2021-10-03 06:11:17,2021-10-03 06:11:27,송원고가밑(구미역방면),128.3439691,36.12341245
53,역방향,0,2021-10-03 06:11:30,2021-10-03 06:11:36,,128.434978,36.15415266
55,정방향,1,2021-10-03 06:11:44,2021-10-03 06:11:51,덕곡동건너,128.1590325,36.11884291
53,역방향,0,2021-10-03 06:11:46,2021-10-03 06:11:53,금오시장 입구,128.340973,36.12474098
553,역방향,0,2021-10-03 06:11:58,2021-10-03 06:12:04,한국전력기술앞,128.1810174,36.12610971
53,역방향,3,2021-10-03 06:12:00,2021-10-03 06:12:10,원평동 행정복지 센터 앞,128.3388928,36.12581949
55,정방향,2,2021-10-03 06:12:43,2021-10-03 06:14:01,신촌(용전방면),128.1695675,36.12437415
5000,역방향,0,2021-10-03 06:13:33,2021-10-03 06:15:20,구미종합터미널건너,128.3508489,36.12267599
553,역방향,0,2021-10-03 06:14:15,2021-10-03 06:14:20,내보금자리주택앞,128.1809772,36.12056557
53,역방향,2,2021-10-03 06:14:32,2021-10-03 06:14:59,대구은행앞,128.3356625,36.12718339
553,역방향,0,2021-10-03 06:14:53,2021-10-03 06:15:17,로제니아호텔앞,128.1822295,36.11743726
55,정방향,1,2021-10-03 06:15:15,2021-10-03 06:15:22,용전,128.1817609,36.1309744
53,역방향,0,2021-10-03 06:15:29,2021-10-03 06:16:01,구미역 전(국민은행),128.3322865,36.12861582
5000,정방향,0,2021-10-03 06:16:10,2021-10-03 06:16:43,성내동,128.1203089,36.12067708
55,정방향,2,2021-10-03 06:16:14,2021-10-03 06:16:19,초곡리(서원입구방면),128.1849817,36.1412226
