BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
140,순환,0,2021-11-08 00:43:58,2021-11-08 00:46:06,구미역,128.3293215,36.12963461
53,역방향,0,2021-11-08 05:43:39,2021-11-08 05:43:49,제2구미교네거리,128.434978,36.15415266
553,역방향,0,2021-11-08 05:44:09,2021-11-08 05:44:26,구미역 전(국민은행),128.3322865,36.12861582
553,역방향,0,2021-11-08 05:45:13,2021-11-08 05:47:15,구미역(김천행),128.328432,36.130215
553,역방향,0,2021-11-08 05:47:32,2021-11-08 05:47:42,원평2동행정복지센터건너,128.325838,36.13129062
553,역방향,0,2021-11-08 05:48:41,2021-11-08 05:48:51,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
553,역방향,0,2021-11-08 05:49:44,2021-11-08 05:49:53,선기동교복단지건너,128.3124331,36.13709824
553,역방향,0,2021-11-08 05:50:08,2021-11-08 05:51:19,봉곡동입구(진주울입구방면),128.3093903,36.13855769
553,역방향,0,2021-11-08 05:52:02,2021-11-08 05:52:10,진주울입구(장흥리방면),128.3016804,36.14131902
553,역방향,0,2021-11-08 05:53:12,2021-11-08 05:53:21,장흥리(송천4리입구건너방면),128.2939104,36.14452075
553,역방향,0,2021-11-08 05:54:23,2021-11-08 05:54:37,송천4리입구건너,128.283611,36.14925036
553,역방향,0,2021-11-08 05:55:17,2021-11-08 05:55:27,하송(금계방면),128.279235,36.15265581
553,역방향,0,2021-11-08 05:55:56,2021-11-08 05:56:02,금계(구미방면),128.2742229,36.15489417
553,역방향,0,2021-11-08 05:57:14,2021-11-08 05:57:41,아포한마음아파트건너,128.2630024,36.15881109
92,정방향,0,2021-11-08 05:57:21,2021-11-08 05:57:44,황상신화아파트앞,128.4215948,36.11084456
171-4,정방향,0,2021-11-08 05:57:25,2021-11-08 05:57:44,선산터미널종점,128.3043322,36.23971938
171-4,정방향,0,2021-11-08 05:58:07,2021-11-08 05:58:37,선산터미널종점,128.3043322,36.23971938
553,역방향,0,2021-11-08 05:58:25,2021-11-08 05:58:31,아포역(아포읍행정복지센터방면),128.25718805,36.15943346
171-4,정방향,0,2021-11-08 05:58:39,2021-11-08 05:58:40,선산터미널종점,128.3043322,36.23971938
171-4,정방향,0,2021-11-08 05:58:41,2021-11-08 05:58:42,선산터미널종점,128.3043322,36.23971938
171-4,정방향,0,2021-11-08 05:58:47,2021-11-08 05:58:48,선산터미널종점,128.3043322,36.23971938
