BRT_ID,BRT_DIRECTION,BRT_CLASS,BRN_IN_OCCURYMDHMS,BRN_OUT_OCCURYMDHMS,BNODE_KNAME,BNODE_X,BNODE_Y
553,역방향,0,2021-11-07 05:43:26,2021-11-07 05:44:00,구미역 전(국민은행),128.3322865,36.12861582
553,역방향,0,2021-11-07 05:44:24,2021-11-07 05:47:27,구미역(김천행),128.328432,36.130215
553,역방향,0,2021-11-07 05:47:42,2021-11-07 05:47:53,원평2동행정복지센터건너,128.325838,36.13129062
553,역방향,0,2021-11-07 05:48:38,2021-11-07 05:48:47,도량2동입구(선기동교복단지건너방면),128.3217852,36.1338658
553,역방향,0,2021-11-07 05:49:30,2021-11-07 05:49:36,선기동교복단지건너,128.3124331,36.13709824
553,역방향,0,2021-11-07 05:49:47,2021-11-07 05:51:18,봉곡동입구(진주울입구방면),128.3093903,36.13855769
553,역방향,0,2021-11-07 05:52:02,2021-11-07 05:52:08,진주울입구(장흥리방면),128.3016804,36.14131902
553,역방향,0,2021-11-07 05:53:05,2021-11-07 05:53:12,장흥리(송천4리입구건너방면),128.2939104,36.14452075
553,역방향,0,2021-11-07 05:54:15,2021-11-07 05:54:37,송천4리입구건너,128.283611,36.14925036
553,역방향,0,2021-11-07 05:55:11,2021-11-07 05:55:19,하송(금계방면),128.279235,36.15265581
553,역방향,0,2021-11-07 05:55:48,2021-11-07 05:55:56,금계(구미방면),128.2742229,36.15489417
553,역방향,0,2021-11-07 05:57:06,2021-11-07 05:57:19,아포한마음아파트건너,128.2630024,36.15881109
553,역방향,0,2021-11-07 05:58:01,2021-11-07 05:58:07,아포역(아포읍행정복지센터방면),128.25718805,36.15943346
553,역방향,0,2021-11-07 05:58:30,2021-11-07 05:58:41,아포읍행정복지센터앞,128.25308399,36.15975719
53,역방향,0,2021-11-07 05:58:41,2021-11-07 05:58:51,제2구미교네거리,128.434978,36.15415266
553,역방향,0,2021-11-07 05:59:16,2021-11-07 05:59:24,아포초등학교,128.2478695,36.15946618
